City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Poum,-20.2333,164.0167,79.21,77,100,21.43,NC,1616169771
Port,-7.0349,29.7638,77.38,69,89,1.9,CD,1616169771
Luanda,-8.8368,13.2343,86.0,70,20,13.8,AO,1616169772
Alofi,-19.0595,-169.9187,75.2,100,100,3.44,NU,1616169772
Bethel,41.3712,-73.414,35.6,32,1,16.11,US,1616169773
Atuona,-9.8,-139.0333,80.01,76,58,12.8,PF,1616169773
Pevek,69.7008,170.3133,-20.2,87,98,1.9,RU,1616169774
Rawson,-43.3002,-65.1023,78.17,24,0,15.7,AR,1616169208
Virginia,37.5481,-77.4467,41.0,87,75,12.66,US,1616168987
Mount,53.6597,-1.8537,46.99,88,100,3.0,GB,1616169209
Bluff,-46.6,168.3333,55.0,83,100,4.0,NZ,1616169124
Ryōtsu-minato,38.0833,138.4333,42.82,66,0,10.63,JP,1616169209
Geraldton,-28.7667,114.6,69.8,56,0,5.75,AU,1616169210
Faanui,-16.4833,-151.75,81.79,67,15,4.76,PF,1616169210
Mys,62.0589,48.6201,23.27,95,100,5.68,RU,1616169211
Solnechnyy,50.7214,136.6319,17.08,87,39,1.74,RU,1616169212
Kupang,-10.1667,123.5833,78.46,82,87,8.72,ID,1616169212
Namatanai,-3.6667,152.4333,80.06,77,9,6.49,PG,1616169213
Rikitea,-23.1203,-134.9692,80.17,77,100,12.39,PF,1616169019
Ballina,-28.8667,153.5667,69.8,94,90,2.3,AU,1616169213
Korla,41.7597,86.1469,38.21,67,0,2.15,CN,1616169214
Santa,17.486,120.4348,79.03,82,99,4.32,PH,1616169214
Barrow,71.2906,-156.7887,-7.6,77,90,3.44,US,1616168990
Mahébourg,-20.4081,57.7,78.8,83,20,5.75,MU,1616169215
Ozernovskiy,51.5,156.5167,26.58,95,100,12.03,RU,1616169216
Carnarvon,-24.8667,113.6333,80.6,69,0,9.22,AU,1616169216
Okhotsk,59.3833,143.3,2.73,65,0,15.55,RU,1616169114
Ribeira,42.7461,-8.4439,55.0,93,75,13.8,ES,1616169217
Yueyang,29.3333,113.0919,48.52,84,96,16.08,CN,1616169217
Hermanus,-34.4187,19.2345,69.01,62,100,5.01,ZA,1616169218
Punta,8.9897,125.34,76.57,88,82,3.29,PH,1616169218
Unaí,-16.3575,-46.9061,83.66,60,89,6.08,BR,1616169152
Ushuaia,-54.8,-68.3,51.8,58,40,5.75,AR,1616169044
Chokurdakh,70.6333,147.9167,-17.81,79,100,8.28,RU,1616169219
